code,id,name,account_type,reconcile,chart_template_id/id
11110000,pcg_11110000,Capital social,equity,FALSE,l10n_ma
11120000,pcg_11120000,Fonds de dotation,equity,FALSE,l10n_ma
11170000,pcg_11170000,Capital personnel,equity,FALSE,l10n_ma
11171000,pcg_11171000,Capital individuel,equity,FALSE,l10n_ma
11175000,pcg_11175000,Compte de l'exploitant,equity,FALSE,l10n_ma
11190000,pcg_11190000,"Actionnaires, capital souscrit-non appelé",equity,FALSE,l10n_ma
11210000,pcg_11210000,Primes d'émission,equity,FALSE,l10n_ma
11220000,pcg_11220000,Primes de fusion,equity,FALSE,l10n_ma
11230000,pcg_11230000,Primes d'apport,equity,FALSE,l10n_ma
11300000,pcg_11300000,Ecarts de réévaluation,liability_non_current,FALSE,l10n_ma
11400000,pcg_11400000,Réserve légale,equity,FALSE,l10n_ma
11510000,pcg_11510000,Réserves statutaires ou contractuelles,equity,FALSE,l10n_ma
11520000,pcg_11520000,Réserves facultatives,equity,FALSE,l10n_ma
11550000,pcg_11550000,Réserves réglementées,equity,FALSE,l10n_ma
11610000,pcg_11610000,Report à nouveau (solde créditeur),equity,FALSE,l10n_ma
11690000,pcg_11690000,Report à nouveau (solde débiteur),equity,FALSE,l10n_ma
11810000,pcg_11810000,Résultats nets en instance d'affectation (solde créditeur),equity,FALSE,l10n_ma
11890000,pcg_11890000,Résultats nets en instance d'affectation (solde débiteur),equity,FALSE,l10n_ma
11910000,pcg_11910000,Résultat net de l'exercice (solde créditeur),equity_unaffected,FALSE,l10n_ma
13110000,pcg_13110000,Subventions d'investissement reçues,liability_non_current,FALSE,l10n_ma
13190000,pcg_13190000,Subventions d'investissement inscrites au CPC,liability_non_current,FALSE,l10n_ma
13510000,pcg_13510000,Provisions pour amortissements dérogatoires,liability_non_current,FALSE,l10n_ma
13520000,pcg_13520000,Provisions pour plus-values en instance d'imposition,liability_non_current,FALSE,l10n_ma
13540000,pcg_13540000,Provisions pour investissements,liability_non_current,FALSE,l10n_ma
13550000,pcg_13550000,Provisions pour reconstitution des gisements,liability_non_current,FALSE,l10n_ma
13560000,pcg_13560000,Provisions pour acquisition et construction de logements,liability_non_current,FALSE,l10n_ma
13580000,pcg_13580000,Autres provisions réglementées,liability_non_current,FALSE,l10n_ma
14100000,pcg_14100000,Emprunts obligataires,liability_non_current,FALSE,l10n_ma
14810000,pcg_14810000,Emprunts auprès des établissements de crédit,liability_non_current,FALSE,l10n_ma
14820000,pcg_14820000,Avances de l'Etat,liability_non_current,FALSE,l10n_ma
14830000,pcg_14830000,Dettes rattachées à des participations,liability_non_current,FALSE,l10n_ma
14840000,pcg_14840000,Billets de fonds,liability_non_current,FALSE,l10n_ma
14850000,pcg_14850000,Avances reçues et comptes courants bloqués,liability_non_current,FALSE,l10n_ma
14860000,pcg_14860000,Fournisseurs d'immobilisation,liability_non_current,FALSE,l10n_ma
14870000,pcg_14870000,Dépôts et cautionnements reçues,liability_non_current,FALSE,l10n_ma
14880000,pcg_14880000,Dettes de financement diverses,liability_non_current,FALSE,l10n_ma
15110000,pcg_15110000,Provisions pour litiges,liability_non_current,FALSE,l10n_ma
15120000,pcg_15120000,Provisions pour garanties données aux clients,liability_non_current,FALSE,l10n_ma
15130000,pcg_15130000,Provisions pour propre assureur,liability_non_current,FALSE,l10n_ma
15140000,pcg_15140000,Provision pour pertes sur marchés à terme,liability_non_current,FALSE,l10n_ma
15150000,pcg_15150000,"Provisions pour amendes, double droits, pénalités",liability_non_current,FALSE,l10n_ma
15160000,pcg_15160000,Provisions pour pertes de change,liability_non_current,FALSE,l10n_ma
15180000,pcg_15180000,Autres provisions pour risques,liability_non_current,FALSE,l10n_ma
15510000,pcg_15510000,Provisions pour impôts,liability_non_current,FALSE,l10n_ma
15520000,pcg_15520000,Provisions pour pensions de retraite et obligations similaires,liability_non_current,FALSE,l10n_ma
15550000,pcg_15550000,Provisions pour charges à répartir sur plusieurs exercices,liability_non_current,FALSE,l10n_ma
15580000,pcg_15580000,Autres provisions pour charges,liability_non_current,FALSE,l10n_ma
16010000,pcg_16010000,Comptes de liaison du siège,liability_non_current,FALSE,l10n_ma
16050000,pcg_16050000,Comptes de liaison des établissements,liability_non_current,FALSE,l10n_ma
17100000,pcg_17100000,Augmentation des créances immobilisées,liability_non_current,FALSE,l10n_ma
17200000,pcg_17200000,Diminution des dettes de financement,liability_non_current,FALSE,l10n_ma
21110000,pcg_21110000,Frais de constitution,asset_non_current,FALSE,l10n_ma
21120000,pcg_21120000,Frais préalables au démarrage,asset_non_current,FALSE,l10n_ma
21130000,pcg_21130000,Frais d'augmentation du capital,asset_non_current,FALSE,l10n_ma
21140000,pcg_21140000,"Frais sur opérations de fusions, scissions et transformations",asset_non_current,FALSE,l10n_ma
